Continent,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,Malawi,MWI,37.14149342,36.69601188,36.25053034,35.80504879,35.35956725,34.9140857,34.46860416,34.02312261,33.57764107,33.13215952,32.68667798,32.24119644,31.79571489,31.35023335,30.9047518,30.45927026,30.01378871,29.56830717,29.12282563,28.67734408,28.23186254,27.78638099,27.34089945,26.8954179,26.44993636,26.00445482,25.55897327,25.11349173,24.66801018,24.22252864,23.77704709,23.33156555,22.88608401
Africa,Namibia,NAM,10.65137436,10.56512456,10.47887476,10.39262496,10.30637515,10.22012535,10.13387555,10.04762575,9.961375943,9.87512614,9.788876338,9.702625563,9.616374789,9.530124015,9.44387324,9.357622466,9.271371692,9.185120917,9.098870143,9.012619369,8.926368594,8.84011952,8.753870447,8.667621373,8.581372299,8.495123225,8.408871722,8.322620219,8.236368716,8.150117213,8.06386571,7.977614206,7.891362703
Africa,Niger,NER,1.535485908,1.486784558,1.438083208,1.389381858,1.340680508,1.291979158,1.243277808,1.194576459,1.145875109,1.097173759,1.048472409,1.038667403,1.028862398,1.019057393,1.009252388,0.999447383,0.989642378,0.979837373,0.970032368,0.960227362,0.950422357,0.940617352,0.930812347,0.921007342,0.911202337,0.901397332,0.891592327,0.881787321,0.871982316,0.862177311,0.852372306,0.842567301,0.832762296
Africa,Nigeria,NGA,29.1249053,28.94560097,28.76629665,28.58699233,28.407688,28.22838368,28.04907935,27.86977503,27.6904707,27.51116638,27.33186205,27.15255663,26.97325121,26.79394578,26.61464036,26.43533494,26.25602951,26.07672409,25.89741867,25.71811324,25.53880782,25.3595024,25.18019698,25.00089155,24.82158613,24.64228071,24.46297957,24.28368304,24.1043842,23.92508537,23.74578653,23.5664877,23.38718886
Africa,Rwanda,RWA,12.84961492,12.72800973,12.60640454,12.48479935,12.36319416,12.24158897,12.11998379,11.9983786,11.87677341,11.75516822,11.63356303,11.54438589,11.45520876,11.36603162,11.27685448,11.18767734,11.0985002,11.00932306,10.92014593,10.83096879,10.74179165,10.78232671,10.82286178,10.86339684,10.9039319,10.94446696,11.02553709,11.06607215,11.10660722,11.14714228,11.18767734,11.2282124,11.26874747
Africa,Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,10.56352998,10.47024946,10.37696895,10.28368844,10.19710385,10.10494111,10.01277837,9.920615632,9.828452891,9.73629015,9.644127409
Africa,Senegal,SEN,48.32057342,48.08684361,47.8531138,47.61938399,47.38565418,47.15192438,46.91819457,46.68446476,46.45073495,46.21700514,45.98327533,45.7833065,45.58333766,45.38336883,45.18339999,44.98343115,44.78346232,44.58349348,44.38352465,44.18355581,43.98358697,43.77582714,43.56806731,43.36030748,43.15254765,42.94478783,42.737028,42.52926817,42.32150834,42.11374851,41.90598868,41.69822885,41.49046902
Africa,Sierra Leone,SLE,43.31809365,43.0447908,42.77148795,42.49818509,42.22488224,41.95157938,41.67827653,41.40497368,41.13167082,40.85836797,40.58506511,40.31176226,40.03845941,39.76515655,39.4918537,39.21855085,38.94524799,38.67194514,38.39864228,38.12533943,37.85203658,37.57874758,37.30545858,37.03216958,36.75888058,36.48559158,36.21224716,35.93890274,35.66555833,35.39221391,35.11886949,34.84552508,34.57218066
Africa,Somalia,SOM,13.20256958,13.08022763,12.95788568,12.83554372,12.71320177,12.59085982,12.46851787,12.34617592,12.22383397,12.10149201,11.97915006,11.85680811,11.73446616,11.61212421,11.48978226,11.3674403,11.24509835,11.1227564,11.00041445,10.8780725,10.75573054,10.63338859,10.51104664,10.38870469,10.26636274,10.14402079,10.02167883,9.899336883,9.776994931,9.654652979,9.532311028,9.409969076,9.287627124
Africa,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151,11.32562151
